Iterações do Simplex
================================================================================
=== Iteracao: 0 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
             w2     -5.86     -1.71      5.86      0.00      6.00     -2.29      3.71      2.29     -2.29     -1.71     -7.43      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.14      0.00     27.29
             w3      1.29     -4.43     -1.29      0.00     10.00      3.43     -0.57     -0.43      0.43      5.57      4.14      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.29      0.00     55.57
             w4      5.29     -1.43     -1.29      0.00      9.00      9.43      5.43      4.57     -4.57      7.57     -1.86      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.29      0.00     62.57
             w5      1.71     -8.57     -3.71      0.00      9.00      2.57      6.57     -1.57      1.57      5.43     -2.14      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.71      0.00     63.43
             w6     -0.71      0.57     -2.29      0.00      3.00      2.43      5.43     -0.43      0.43     -2.43     -6.86      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.29      0.00     28.57
             w7      8.00     -7.00     -4.00      0.00      5.00      7.00      0.00      5.00     -5.00      4.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     42.00
             w8      1.43      0.86     -0.43      0.00      1.00      5.14      5.14     -0.14      0.14      3.86      2.71      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.43      0.00     19.86
             w9     -3.14     -8.29     -0.86      0.00      4.00      2.29      2.29      4.71     -4.71     -1.29      1.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.86      0.00     69.71
            w10      0.14     -7.71     -9.14      0.00      5.00      9.71      6.71      9.29     -9.29      7.29      8.57      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -0.14      0.00     48.29
            w11     -2.86      0.29      6.86      0.00      1.00      6.71      1.71      4.29     -4.29     -5.71     -1.43      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     -1.14      0.00     83.29
